หัวข้อ (Topic),คำอธิบาย (Description),คำสั่ง SQL (Syntax),ตัวอย่าง (Example)
Aliases / AS (การตั้งชื่อแทน),การตั้งชื่อชั่วคราวให้คอลัมน์หรือตารางเพื่อให้อ่านเข้าใจง่ายขึ้น โดยชื่อนี้จะมีผลแค่เฉพาะตอนคิวรีเท่านั้น,SELECT column_name AS alias_name FROM table_name;,"SELECT CustomerID AS ID, CustomerName AS Customer FROM Customers;"
JOIN Clause (การเชื่อมตาราง),ใช้ดึงข้อมูลจากตาราง 2 ตาราง (หรือมากกว่า) มาต่อกัน โดยอาศัยคอลัมน์ที่มีความสัมพันธ์กัน (Related column) ระหว่างตารางเหล่านั้น,-,-
INNER JOIN (การเชื่อมตารางแบบตัดกัน),ดึงข้อมูลเฉพาะแถวที่มีค่าในคอลัมน์เชื่อมโยงตรงกัน 'ทั้งสองตาราง' เท่านั้น (คำสั่ง JOIN เฉยๆ มีค่าเท่ากับ INNER JOIN),SELECT columns FROM table1 INNER JOIN table2 ON table1.column_name = table2.column_name;,"SELECT Orders.OrderID, Customers.CustomerName FROM Orders INNER JOIN Customers ON Orders.CustomerID = Customers.CustomerID;"
LEFT JOIN (การเชื่อมตารางอิงซ้าย),ดึงข้อมูลทุกแถวจากตารางฝั่งซ้าย (table1) และนำข้อมูลตารางฝั่งขวา (table2) ที่ตรงกันมาต่อให้ หากไม่มีข้อมูลตรงกัน ฝั่งขวาจะเป็นค่า NULL,SELECT columns FROM table1 LEFT JOIN table2 ON table1.column_name = table2.column_name;,"SELECT Customers.CustomerName, Orders.OrderID FROM Customers LEFT JOIN Orders ON Customers.CustomerID = Orders.CustomerID;"
RIGHT JOIN (การเชื่อมตารางอิงขวา),ดึงข้อมูลทุกแถวจากตารางฝั่งขวา (table2) และนำข้อมูลตารางฝั่งซ้าย (table1) ที่ตรงกันมาต่อให้ หากไม่มีข้อมูลตรงกัน ฝั่งซ้ายจะเป็นค่า NULL,SELECT columns FROM table1 RIGHT JOIN table2 ON table1.column_name = table2.column_name;,"SELECT Orders.OrderID, Employees.LastName FROM Orders RIGHT JOIN Employees ON Orders.EmployeeID = Employees.EmployeeID;"
FULL JOIN (การเชื่อมตารางแบบทั้งหมด),ดึงข้อมูลทุกแถวจากทั้งสองตารางมาแสดงทั้งหมด หากตารางไหนไม่มีข้อมูลเชื่อมโยงกัน จะแสดงเป็นค่า NULL,SELECT columns FROM table1 FULL OUTER JOIN table2 ON table1.column_name = table2.column_name;,"SELECT Customers.CustomerName, Orders.OrderID FROM Customers FULL OUTER JOIN Orders ON Customers.CustomerID = Orders.CustomerID;"
Self Join (การเชื่อมตารางตัวเอง),คือการนำตารางมาเชื่อมกับตัวมันเอง (ใช้ JOIN ทั่วไป) โดยใช้วิธีการตั้งชื่อแทน (Alias) ให้ต่างกันเสมือนว่าเป็น 2 ตาราง,"SELECT column_name(s) FROM table1 T1, table1 T2 WHERE condition;","SELECT A.CustomerName AS Customer1, B.CustomerName AS Customer2, A.City FROM Customers A, Customers B WHERE A.CustomerID <> B.CustomerID AND A.City = B.City;"
UNION Operator (ตัวดำเนินการ UNION),ใช้รวมผลลัพธ์ของคำสั่ง SELECT 2 คำสั่งขึ้นไปเข้าด้วยกัน โดยคำสั่ง UNION จะลบข้อมูลที่ซ้ำกัน (Duplicate) ออกโดยอัตโนมัติ,SELECT column_name(s) FROM table1 UNION SELECT column_name(s) FROM table2;,SELECT City FROM Customers UNION SELECT City FROM Suppliers;
UNION ALL Operator (ตัวดำเนินการ UNION ALL),ใช้รวมผลลัพธ์ของคำสั่ง SELECT 2 คำสั่งขึ้นไปเข้าด้วยกันเช่นเดียวกับ UNION แต่จะรวมข้อมูลที่ซ้ำกันไว้ด้วยทั้งหมด,SELECT column_name(s) FROM table1 UNION ALL SELECT column_name(s) FROM table2;,SELECT City FROM Customers UNION ALL SELECT City FROM Suppliers;
GROUP BY Statement (การจัดกลุ่มข้อมูล),"ใช้จัดกลุ่มแถวที่มีค่าในคอลัมน์เหมือนกันเข้าด้วยกัน มักใช้ร่วมกับฟังก์ชันสรุปผล (Aggregate) เช่น COUNT(), MAX(), SUM()","SELECT column_name(s), COUNT(*) FROM table_name GROUP BY column_name(s);","SELECT COUNT(CustomerID), Country FROM Customers GROUP BY Country;"
HAVING Clause (เงื่อนไข HAVING),ทำหน้าที่คล้าย WHERE แต่ใช้สำหรับกรองข้อมูลหลังจากถูกจัดกลุ่มด้วย GROUP BY หรือใช้กับฟังก์ชันสรุปผล (Aggregate) ได้,SELECT column_name(s) FROM table_name GROUP BY column_name(s) HAVING condition;,"SELECT COUNT(CustomerID), Country FROM Customers GROUP BY Country HAVING COUNT(CustomerID) > 5;"
EXISTS Operator (ตัวดำเนินการ EXISTS),ใช้ตรวจสอบว่าคิวรีย่อย (Subquery) ส่งคืนผลลัพธ์มาหรือไม่ หากมีผลลัพธ์อย่างน้อย 1 แถว จะคืนค่าเป็น TRUE,SELECT column_name(s) FROM table_name WHERE EXISTS (SELECT column_name FROM table_name WHERE condition);,SELECT SupplierName FROM Suppliers WHERE EXISTS (SELECT ProductName FROM Products WHERE Products.SupplierID = Suppliers.supplierID AND Price < 20);
ANY Operator (ตัวดำเนินการ ANY),คืนค่า TRUE หากเงื่อนไขตรงกับค่า 'อย่างน้อยหนึ่งค่า' ที่ได้จาก Subquery มักใช้เปรียบเทียบกับค่าอื่นๆ,SELECT column_name(s) FROM table_name WHERE column_name operator ANY (SELECT column_name FROM table_name WHERE condition);,SELECT ProductName FROM Products WHERE ProductID = ANY (SELECT ProductID FROM OrderDetails WHERE Quantity = 10);
ALL Operator (ตัวดำเนินการ ALL),"คืนค่า TRUE หากเงื่อนไขตรงกับค่า 'ทุกค่า' ที่ได้จาก Subquery นิยมใช้ร่วมกับคำสั่ง SELECT, WHERE, HAVING",SELECT column_name(s) FROM table_name WHERE column_name operator ALL (SELECT column_name FROM table_name WHERE condition);,SELECT ProductName FROM Products WHERE ProductID = ALL (SELECT ProductID FROM OrderDetails WHERE Quantity = 10);
SELECT INTO (คัดลอกลงตารางใหม่),ใช้ดึงข้อมูลจากตารางเดิมเพื่อนำไปสร้างเป็นตารางใหม่พร้อมบรรจุข้อมูลลงไป มักใช้สำหรับทำสำรองข้อมูล (Backup) ชั่วคราว,SELECT * INTO new_table FROM old_table WHERE condition;,SELECT * INTO CustomersBackup2023 FROM Customers;
INSERT INTO SELECT (เพิ่มข้อมูลข้ามตาราง),ใช้คัดลอกข้อมูลจากตารางหนึ่ง ไปเพิ่ม (Insert) ลงในอีกตารางหนึ่งที่มีอยู่แล้ว โดยประเภทข้อมูลของทั้งสองตารางต้องตรงกัน,"INSERT INTO table2 (column1, column2) SELECT column1, column2 FROM table1 WHERE condition;","INSERT INTO Customers (CustomerName, City) SELECT SupplierName, City FROM Suppliers;"
CASE Expression (การสร้างเงื่อนไขแบบ CASE),ชุดคำสั่งทำงานเหมือน If-Then-Else ตรวจสอบเงื่อนไขตามลำดับ หากตรงเงื่อนไขจะคืนค่าที่กำหนด และถ้าไม่ตรงเลยจะคืนค่าในส่วน ELSE,CASE WHEN condition1 THEN result1 WHEN condition2 THEN result2 ELSE result END;,"SELECT OrderID, CASE WHEN Quantity > 30 THEN 'Over 30' ELSE 'Under 30' END AS QuantityText FROM OrderDetails;"
COALESCE() / IFNULL() (การจัดการค่าว่าง NULL),ฟังก์ชันใช้จัดการกับค่า NULL ให้ส่งคืนค่าอื่นกลับมาแทนเมื่อพบค่าว่าง ป้องกันการเกิดข้อผิดพลาดในการคำนวณ,"SELECT COALESCE(column_name, alternate_value) FROM table_name;","SELECT ProductName, UnitPrice * COALESCE(UnitsInStock, 0) FROM Products;"
Stored Procedure (ชุดคำสั่งที่บันทึกไว้),เป็นชุดคำสั่ง SQL ที่ถูกเซฟบันทึกไว้ในระบบเพื่อให้สามารถเรียกใช้งานซ้ำได้ง่าย โดยสามารถรับค่าผ่าน Parameter ได้,CREATE PROCEDURE procedure_name AS sql_statement GO;,EXEC procedure_name;
SQL Comments (การเขียนคำอธิบายโค้ด),ใช้สำหรับพิมพ์อธิบายโค้ด หรือปิดการทำงานชั่วคราว มีทั้งแบบบรรทัดเดียว (--) และหลายบรรทัด (/*...*/),"-- Single line comment 
 /* Multi-line comment */","-- Select all customers 
 SELECT * FROM Customers;"
SQL Operators (ตัวดำเนินการ),"สัญลักษณ์ที่ใช้ดำเนินการกับข้อมูล แบ่งเป็น คณิตศาสตร์ (+, -, *, /), เปรียบเทียบ (=, >, <), และตรรกะ (AND, OR, IN)",-,SELECT * FROM Products WHERE Price = 18;
CREATE DATABASE (การสร้างฐานข้อมูล),คำสั่งที่ใช้สำหรับสร้างฐานข้อมูลใหม่ในระบบ SQL Server,CREATE DATABASE databasename;,CREATE DATABASE testDB;
DROP DATABASE (การลบฐานข้อมูล),คำสั่งที่ใช้สำหรับลบฐานข้อมูลที่มีอยู่ออกอย่างถาวร (ควรระมัดระวังในการใช้งาน เพราะข้อมูลจะหายทั้งหมด),DROP DATABASE databasename;,DROP DATABASE testDB;
BACKUP DATABASE (การสำรองฐานข้อมูล),คำสั่งที่ใช้สำหรับสร้างไฟล์สำรองข้อมูล (Backup) แบบเต็มรูปแบบของฐานข้อมูลที่มีอยู่ไว้ใน Disk,BACKUP DATABASE databasename TO DISK = 'D:\\backups\\testDB.bak';,BACKUP DATABASE testDB TO DISK = 'D:\\backups\\testDB.bak';
CREATE TABLE (การสร้างตาราง),ใช้สำหรับสร้างตารางใหม่ลงในฐานข้อมูล โดยต้องกำหนดชื่อคอลัมน์และประเภทข้อมูล (Data Type) ที่จะเก็บ,"CREATE TABLE table_name (column1 datatype, column2 datatype, ...);","CREATE TABLE Persons (PersonID int, LastName varchar(255), FirstName varchar(255));"
DROP TABLE (การลบตาราง),ใช้สำหรับลบตารางและข้อมูลทั้งหมดที่อยู่ในตารางนั้นออกอย่างถาวร ควรใช้อย่างระมัดระวัง,DROP TABLE table_name;,DROP TABLE Shippers;
ALTER TABLE (การปรับปรุงตาราง),"ใช้สำหรับเพิ่ม (ADD), ลบ (DROP), หรือแก้ไข (MODIFY) คอลัมน์และข้อจำกัด (Constraints) ในตารางที่มีอยู่แล้ว",ALTER TABLE table_name ADD column_name datatype;,ALTER TABLE Customers ADD Email varchar(255);
SQL Constraints (ข้อจำกัด/ข้อบังคับ),กฎหรือข้อบังคับที่ใช้กำหนดลักษณะของข้อมูลในตาราง เพื่อป้องกันไม่ให้ใส่ข้อมูลที่ไม่ถูกต้องลงไป (ช่วยรักษาความน่าเชื่อถือของข้อมูล),CREATE TABLE table_name (column1 datatype constraint);,"CREATE TABLE Persons (ID int NOT NULL, Age int CHECK (Age>=18));"
NOT NULL Constraint (ข้อบังคับห้ามเป็นค่าว่าง),บังคับว่าคอลัมน์นี้จะต้องมีข้อมูลเสมอ จะไม่สามารถบันทึกข้อมูล (INSERT) หรืออัปเดต (UPDATE) เป็นค่าว่าง (NULL) ได้,column_name datatype NOT NULL,CREATE TABLE Persons (ID int NOT NULL);
UNIQUE Constraint (ข้อบังคับห้ามซ้ำ),บังคับให้ข้อมูลในคอลัมน์นั้นๆ ต้องไม่ซ้ำกันเลยในทุกแถว (สามารถมี UNIQUE ได้หลายคอลัมน์ใน 1 ตารางต่างจาก PRIMARY KEY),column_name datatype UNIQUE,CREATE TABLE Persons (ID int NOT NULL UNIQUE);
PRIMARY KEY (คีย์หลัก),คีย์หลักที่ใช้ระบุตัวตนของแต่ละแถวในตาราง ข้อมูลในคอลัมน์นี้ห้ามซ้ำและห้ามเป็นค่าว่าง (NOT NULL + UNIQUE) มีได้เพียง 1 คีย์ต่อ 1 ตาราง,column_name datatype PRIMARY KEY,CREATE TABLE Persons (ID int NOT NULL PRIMARY KEY);
FOREIGN KEY (คีย์นอก),คีย์นอกที่ใช้เชื่อมโยงกับคีย์หลัก (PRIMARY KEY) ของอีกตารางหนึ่ง เพื่อสร้างความสัมพันธ์และป้องกันข้อมูลกำพร้า (ไม่ให้ลบตารางหลักหากยังมีตารางลูกใช้อยู่),FOREIGN KEY (column_name) REFERENCES table_name(column_name),"CREATE TABLE Orders (OrderID int NOT NULL PRIMARY KEY, PersonID int FOREIGN KEY REFERENCES Persons(PersonID));"
CHECK Constraint (เงื่อนไขตรวจสอบ),ใช้กำหนดเงื่อนไขของข้อมูล หากค่าที่นำมาใส่ทำให้เงื่อนไขเป็นเท็จ (FALSE) การเพิ่มข้อมูล (INSERT/UPDATE) จะถูกยกเลิก,column_name datatype CHECK (condition),"CREATE TABLE Persons (Age int, CHECK (Age>=18));"
DEFAULT Constraint (กำหนดค่าเริ่มต้น),ใช้กำหนดค่าเริ่มต้นให้กับคอลัมน์ ในกรณีที่มีการเพิ่มแถวใหม่แต่ไม่ได้ระบุค่าใดๆ สำหรับคอลัมน์นี้ ระบบจะใส่ค่าเริ่มต้นนี้ให้,column_name datatype DEFAULT default_value,CREATE TABLE Persons (City varchar(255) DEFAULT 'Bangkok');
CREATE INDEX (การสร้างดัชนี),ใช้สำหรับสร้างดัชนี (Index) ให้กับตารางในฐานข้อมูล เพื่อช่วยให้ระบบสามารถค้นหาและดึงข้อมูลได้รวดเร็วยิ่งขึ้น (ผู้ใช้จะไม่เห็นอินเด็กซ์นี้),"CREATE INDEX index_name ON table_name (column1, column2, ...);",CREATE INDEX idx_lastname ON Persons (LastName);
AUTO INCREMENT (คอลัมน์เพิ่มค่าอัตโนมัติ),"ใช้กำหนดให้คอลัมน์ (มักจะเป็น Primary Key) สร้างตัวเลขใหม่เพิ่มขึ้นอัตโนมัติทุกครั้งที่มีการเพิ่มข้อมูลแถวใหม่ (เช่น 1, 2, 3...)",column_name datatype AUTO_INCREMENT,"CREATE TABLE Persons (Personid int NOT NULL AUTO_INCREMENT, FirstName varchar(255));"
SQL Dates (การจัดการวันที่),การจัดการรูปแบบวันที่ (Date) และเวลา (Time) ซึ่งข้อสำคัญคือรูปแบบข้อมูลที่บันทึกจะต้องตรงกับประเภทคอลัมน์ในฐานข้อมูล,SELECT * FROM table_name WHERE date_column = 'YYYY-MM-DD';,SELECT * FROM Orders WHERE OrderDate = '2023-11-11';
CREATE VIEW (การสร้างตารางเสมือน),ใช้สร้างตารางเสมือน (View) จากผลลัพธ์ของคำสั่ง SQL (เหมือนการบันทึกสูตร Query เอาไว้) เพื่อลดความซับซ้อนและปกปิดข้อมูลบางคอลัมน์,"CREATE VIEW view_name AS SELECT column1, column2 FROM table_name WHERE condition;","CREATE VIEW [Brazil Customers] AS SELECT CustomerName, ContactName FROM Customers WHERE Country = 'Brazil';"
SQL Injection (การโจมตีฐานข้อมูล),เทคนิคการแฮ็กโดยการแทรกโค้ด SQL ที่เป็นอันตรายผ่านช่องกรอกข้อมูล (Input) ของเว็บไซต์ เพื่อขโมย แก้ไข หรือลบข้อมูลในฐานข้อมูล,-,ตัวอย่าง Input ที่เป็นอันตราย: 105 OR 1=1
SQL Parameters (การป้องกัน SQL Injection 1),การใช้พารามิเตอร์ (Parameters) หรือ Placeholder ในการรับค่าจากผู้ใช้ เป็นวิธีสำคัญที่ช่วยป้องกันไม่ให้โค้ด SQL ถูกโจมตี (SQL Injection),SELECT * FROM Users WHERE UserId = @UserId;,-
Prepared Statements (การป้องกัน SQL Injection 2),การทำงานแบบ Prepared Statement จะแยกโครงสร้างคำสั่ง SQL ออกจากข้อมูลจริง ทำให้ผู้ไม่หวังดีไม่สามารถแทรกโค้ดอันตรายผ่านข้อมูลได้,PREPARE stmt_name FROM preparable_stmt;,-
SQL Hosting (เซิร์ฟเวอร์ฐานข้อมูล),"หากต้องการให้เว็บไซต์จัดเก็บข้อมูล คุณต้องมีระบบฐานข้อมูลบนเซิร์ฟเวอร์ เช่น บริการโฮสติ้งที่รองรับ MySQL, SQL Server, PostgreSQL หรือ Oracle",-,-
